Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,128097612
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,111559
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,128097612
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,111559
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,128209171
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,128209171
system.cpu_cluster.cpus.icache.replacements,105174
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,93865975
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,29324731
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,93838668
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,29309655
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,123190706
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,123148323
system.cpu_cluster.cpus.dcache.replacements,27264739
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12623
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,460
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12623
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,460
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,13083
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,13083
system.cpu_cluster.l2.replacements,22941535
system.cpu_cluster.l2.tags.tagsInUse,16353.864436
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,59081835
