Statistic,Value
simSeconds,1.142757
simInsts,281553190
hostMemory,407478624
system.cpu_cluster.cpus.cpi,16.221453
system.cpu_cluster.cpus.ipc,0.061647
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,92890856
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,31724217
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1176147
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,371956
system.cpu_cluster.cpus.statFuBusy::MemRead,9111481
system.cpu_cluster.cpus.statFuBusy::MemWrite,13646815
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,94420103
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,31616095
system.cpu_cluster.cpus.fuBusy,45316426
system.cpu_cluster.cpus.fuBusyRate,0.140990
system.cpu_cluster.cpus.mmu.dtb.readHits,92616183
system.cpu_cluster.cpus.mmu.dtb.readMisses,551160
system.cpu_cluster.cpus.mmu.dtb.writeHits,31016041
system.cpu_cluster.cpus.mmu.dtb.writeMisses,417052
system.cpu_cluster.cpus.mmu.dtb.inserts,589411
system.cpu_cluster.cpus.mmu.dtb.flushTlb,179
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,1159
system.cpu_cluster.cpus.mmu.dtb.readAccesses,93167343
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,31433093
system.cpu_cluster.cpus.mmu.dtb.hits,123632224
system.cpu_cluster.cpus.mmu.dtb.misses,968212
system.cpu_cluster.cpus.mmu.dtb.accesses,124600436
system.cpu_cluster.cpus.mmu.itb.hits,126743300
system.cpu_cluster.cpus.mmu.itb.misses,960
system.cpu_cluster.cpus.mmu.itb.accesses,126744260
system.cpu_cluster.cpus.mmu.l2_shared.hits,957705
system.cpu_cluster.cpus.mmu.l2_shared.misses,11467
system.cpu_cluster.cpus.mmu.l2_shared.accesses,969172
