Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,128092393
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,113975
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,128092393
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,113975
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,128206368
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,128206368
system.cpu_cluster.cpus.icache.replacements,107530
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,93864832
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,29322150
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,93837520
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,29307079
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,123186982
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,123144599
system.cpu_cluster.cpus.dcache.replacements,27262387
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12561
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,468
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12561
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,468
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,13029
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,13029
system.cpu_cluster.l2.replacements,22939674
system.cpu_cluster.l2.tags.tagsInUse,16353.857487
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,60216823
