Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,126112693
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,574335
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,126112693
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,574335
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,126687028
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,126687028
system.cpu_cluster.cpus.icache.replacements,569485
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,83145257
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,38266005
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,82690487
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,38234429
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,121411262
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,120924916
system.cpu_cluster.cpus.dcache.replacements,37738050
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,489845
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,81504
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,489845
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,81504
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,571349
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,571349
system.cpu_cluster.l2.replacements,37465754
system.cpu_cluster.l2.tags.tagsInUse,16001.933324
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,6648405790
