Statistic,Value
simSeconds,1.608195
simInsts,453126236
hostMemory,408002912
system.cpu_cluster.cpus.cpi,14.188814
system.cpu_cluster.cpus.ipc,0.070478
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,110660839
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,72353962
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1213700
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,393730
system.cpu_cluster.cpus.statFuBusy::MemRead,38006044
system.cpu_cluster.cpus.statFuBusy::MemWrite,24363469
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,136890281
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,74131434
system.cpu_cluster.cpus.fuBusy,107548408
system.cpu_cluster.cpus.fuBusyRate,0.194308
system.cpu_cluster.cpus.mmu.dtb.readHits,107929415
system.cpu_cluster.cpus.mmu.dtb.readMisses,15578830
system.cpu_cluster.cpus.mmu.dtb.writeHits,68683915
system.cpu_cluster.cpus.mmu.dtb.writeMisses,5226070
system.cpu_cluster.cpus.mmu.dtb.inserts,20391758
system.cpu_cluster.cpus.mmu.dtb.flushTlb,695
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,386
system.cpu_cluster.cpus.mmu.dtb.readAccesses,123508245
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,73909985
system.cpu_cluster.cpus.mmu.dtb.hits,176613330
system.cpu_cluster.cpus.mmu.dtb.misses,20804900
system.cpu_cluster.cpus.mmu.dtb.accesses,197418230
system.cpu_cluster.cpus.mmu.itb.hits,171507198
system.cpu_cluster.cpus.mmu.itb.misses,3610
system.cpu_cluster.cpus.mmu.itb.accesses,171510808
system.cpu_cluster.cpus.mmu.l2_shared.hits,20791411
system.cpu_cluster.cpus.mmu.l2_shared.misses,17099
system.cpu_cluster.cpus.mmu.l2_shared.accesses,20808510
