Statistic,Value
simSeconds,1.608297
simInsts,453329052
hostMemory,408001888
system.cpu_cluster.cpus.cpi,14.183369
system.cpu_cluster.cpus.ipc,0.070505
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,110679847
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,72335796
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1215027
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,393569
system.cpu_cluster.cpus.statFuBusy::MemRead,38111956
system.cpu_cluster.cpus.statFuBusy::MemWrite,24386125
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,137045553
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,74114575
system.cpu_cluster.cpus.fuBusy,107674939
system.cpu_cluster.cpus.fuBusyRate,0.194532
system.cpu_cluster.cpus.mmu.dtb.readHits,108399626
system.cpu_cluster.cpus.mmu.dtb.readMisses,15187729
system.cpu_cluster.cpus.mmu.dtb.writeHits,69682061
system.cpu_cluster.cpus.mmu.dtb.writeMisses,4243567
system.cpu_cluster.cpus.mmu.dtb.inserts,19018352
system.cpu_cluster.cpus.mmu.dtb.flushTlb,695
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,1162
system.cpu_cluster.cpus.mmu.dtb.readAccesses,123587355
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,73925628
system.cpu_cluster.cpus.mmu.dtb.hits,178081687
system.cpu_cluster.cpus.mmu.dtb.misses,19431296
system.cpu_cluster.cpus.mmu.dtb.accesses,197512983
system.cpu_cluster.cpus.mmu.itb.hits,171224701
system.cpu_cluster.cpus.mmu.itb.misses,939
system.cpu_cluster.cpus.mmu.itb.accesses,171225640
system.cpu_cluster.cpus.mmu.l2_shared.hits,19415119
system.cpu_cluster.cpus.mmu.l2_shared.misses,17116
system.cpu_cluster.cpus.mmu.l2_shared.accesses,19432235
