Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,128096014
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,114002
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,128096014
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,114002
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,128210016
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,128210016
system.cpu_cluster.cpus.icache.replacements,107561
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,93866870
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,29322291
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,93839568
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,29307219
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,123189161
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,123146787
system.cpu_cluster.cpus.dcache.replacements,27263825
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12590
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,462
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12590
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,462
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,13052
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,13052
system.cpu_cluster.l2.replacements,22940424
system.cpu_cluster.l2.tags.tagsInUse,16353.861589
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,56764072
