Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,170910485
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,596537
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,170910485
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,596537
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,171507022
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,171507022
system.cpu_cluster.cpus.icache.replacements,591241
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,142533599
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,26335437
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,142054270
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,26303374
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,168869036
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,168357644
system.cpu_cluster.cpus.dcache.replacements,24505352
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,14239676
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,1148204
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,14239676
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,1148204
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,15387880
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,15387880
system.cpu_cluster.l2.replacements,23937368
system.cpu_cluster.l2.tags.tagsInUse,16356.398425
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,91480193280
