Statistic,Value
simSeconds,1.142846
simInsts,281573090
hostMemory,407477600
system.cpu_cluster.cpus.cpi,16.221568
system.cpu_cluster.cpus.ipc,0.061646
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,92889778
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,31729391
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1171692
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,367474
system.cpu_cluster.cpus.statFuBusy::MemRead,9108222
system.cpu_cluster.cpus.statFuBusy::MemWrite,13638619
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,94417711
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,31623333
system.cpu_cluster.cpus.fuBusy,45372762
system.cpu_cluster.cpus.fuBusyRate,0.141150
system.cpu_cluster.cpus.mmu.dtb.readHits,92597936
system.cpu_cluster.cpus.mmu.dtb.readMisses,551129
system.cpu_cluster.cpus.mmu.dtb.writeHits,31021250
system.cpu_cluster.cpus.mmu.dtb.writeMisses,416956
system.cpu_cluster.cpus.mmu.dtb.inserts,589515
system.cpu_cluster.cpus.mmu.dtb.flushTlb,175
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,643
system.cpu_cluster.cpus.mmu.dtb.readAccesses,93149065
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,31438206
system.cpu_cluster.cpus.mmu.dtb.hits,123619186
system.cpu_cluster.cpus.mmu.dtb.misses,968085
system.cpu_cluster.cpus.mmu.dtb.accesses,124587271
system.cpu_cluster.cpus.mmu.itb.hits,126687397
system.cpu_cluster.cpus.mmu.itb.misses,1711
system.cpu_cluster.cpus.mmu.itb.accesses,126689108
system.cpu_cluster.cpus.mmu.l2_shared.hits,958395
system.cpu_cluster.cpus.mmu.l2_shared.misses,11401
system.cpu_cluster.cpus.mmu.l2_shared.accesses,969796
