Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,170625295
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,598091
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,170625295
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,598091
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,171223386
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,171223386
system.cpu_cluster.cpus.icache.replacements,592552
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,142430225
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,26472485
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,141949844
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,26443686
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,168902710
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,168393530
system.cpu_cluster.cpus.dcache.replacements,24596813
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,14307621
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,1108437
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,14307621
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,1108437
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,15416058
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,15416058
system.cpu_cluster.l2.replacements,23932247
system.cpu_cluster.l2.tags.tagsInUse,16356.425466
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,88374720501
