Statistic,Value
simSeconds,1.105021
simInsts,173902764
hostMemory,407477168
system.cpu_cluster.cpus.cpi,25.412994
system.cpu_cluster.cpus.ipc,0.039350
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,70598751
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,7800949
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,124619
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,72551
system.cpu_cluster.cpus.statFuBusy::MemRead,868758
system.cpu_cluster.cpus.statFuBusy::MemWrite,1157313
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,70694008
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,7772696
system.cpu_cluster.cpus.fuBusy,5288577
system.cpu_cluster.cpus.fuBusyRate,0.029765
system.cpu_cluster.cpus.mmu.dtb.readHits,70510134
system.cpu_cluster.cpus.mmu.dtb.readMisses,35839
system.cpu_cluster.cpus.mmu.dtb.writeHits,7719867
system.cpu_cluster.cpus.mmu.dtb.writeMisses,25904
system.cpu_cluster.cpus.mmu.dtb.inserts,37327
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2086
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,959
system.cpu_cluster.cpus.mmu.dtb.readAccesses,70545973
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,7745771
system.cpu_cluster.cpus.mmu.dtb.hits,78230001
system.cpu_cluster.cpus.mmu.dtb.misses,61743
system.cpu_cluster.cpus.mmu.dtb.accesses,78291744
system.cpu_cluster.cpus.mmu.itb.hits,85999914
system.cpu_cluster.cpus.mmu.itb.misses,275
system.cpu_cluster.cpus.mmu.itb.accesses,86000189
system.cpu_cluster.cpus.mmu.l2_shared.hits,60974
system.cpu_cluster.cpus.mmu.l2_shared.misses,1044
system.cpu_cluster.cpus.mmu.l2_shared.accesses,62018
