Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,85895100
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,103489
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,85895100
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,103489
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,85998589
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,85998589
system.cpu_cluster.cpus.icache.replacements,97813
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,36574402
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,41487571
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,36547867
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,41473227
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,78061973
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,78021094
system.cpu_cluster.cpus.dcache.replacements,40955023
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12619
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,426
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12619
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,426
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,13045
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,13045
system.cpu_cluster.l2.replacements,38091581
system.cpu_cluster.l2.tags.tagsInUse,15986.489998
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,55983359
