Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,85891609
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,103530
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,85891609
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,103530
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,85995139
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,85995139
system.cpu_cluster.cpus.icache.replacements,97983
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,36575046
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,41490148
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,36548515
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,41475811
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,78065194
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,78024326
system.cpu_cluster.cpus.dcache.replacements,40956727
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12217
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,420
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12217
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,420
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,12637
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,12637
system.cpu_cluster.l2.replacements,38093457
system.cpu_cluster.l2.tags.tagsInUse,15986.078098
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,54735612
