Statistic,Value
simSeconds,1.446031
simInsts,340414436
hostMemory,408131504
system.cpu_cluster.cpus.cpi,16.990013
system.cpu_cluster.cpus.ipc,0.058858
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,86581799
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,47786556
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,136279
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,79383
system.cpu_cluster.cpus.statFuBusy::MemRead,35628518
system.cpu_cluster.cpus.statFuBusy::MemWrite,11585252
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,105295196
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,47417657
system.cpu_cluster.cpus.fuBusy,73073139
system.cpu_cluster.cpus.fuBusyRate,0.184927
system.cpu_cluster.cpus.mmu.dtb.readHits,72758653
system.cpu_cluster.cpus.mmu.dtb.readMisses,13767713
system.cpu_cluster.cpus.mmu.dtb.writeHits,45065058
system.cpu_cluster.cpus.mmu.dtb.writeMisses,2322956
system.cpu_cluster.cpus.mmu.dtb.inserts,16065562
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2119
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,195
system.cpu_cluster.cpus.mmu.dtb.readAccesses,86526366
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,47388014
system.cpu_cluster.cpus.mmu.dtb.hits,117823711
system.cpu_cluster.cpus.mmu.dtb.misses,16090669
system.cpu_cluster.cpus.mmu.dtb.accesses,133914380
system.cpu_cluster.cpus.mmu.itb.hits,128210564
system.cpu_cluster.cpus.mmu.itb.misses,266
system.cpu_cluster.cpus.mmu.itb.accesses,128210830
system.cpu_cluster.cpus.mmu.l2_shared.hits,16089842
system.cpu_cluster.cpus.mmu.l2_shared.misses,1093
system.cpu_cluster.cpus.mmu.l2_shared.accesses,16090935
