Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,126145274
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,572720
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,126145274
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,572720
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,126717994
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,126717994
system.cpu_cluster.cpus.icache.replacements,568189
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,83213490
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,38184129
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,82743327
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,38154390
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,121397619
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,120897717
system.cpu_cluster.cpus.dcache.replacements,37693365
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,490136
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,81513
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,490136
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,81513
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,571649
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,571649
system.cpu_cluster.l2.replacements,37467065
system.cpu_cluster.l2.tags.tagsInUse,16002.892437
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,6623338025
