Statistic,Value
simSeconds,1.105070
simInsts,173909152
hostMemory,408000432
system.cpu_cluster.cpus.cpi,25.413183
system.cpu_cluster.cpus.ipc,0.039350
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,70602006
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,7801027
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,124608
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,73006
system.cpu_cluster.cpus.statFuBusy::MemRead,867299
system.cpu_cluster.cpus.statFuBusy::MemWrite,1156294
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,70696404
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,7772309
system.cpu_cluster.cpus.fuBusy,5286277
system.cpu_cluster.cpus.fuBusyRate,0.029752
system.cpu_cluster.cpus.mmu.dtb.readHits,70510353
system.cpu_cluster.cpus.mmu.dtb.readMisses,38822
system.cpu_cluster.cpus.mmu.dtb.writeHits,7719475
system.cpu_cluster.cpus.mmu.dtb.writeMisses,26318
system.cpu_cluster.cpus.mmu.dtb.inserts,40855
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2086
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,191
system.cpu_cluster.cpus.mmu.dtb.readAccesses,70549175
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,7745793
system.cpu_cluster.cpus.mmu.dtb.hits,78229828
system.cpu_cluster.cpus.mmu.dtb.misses,65140
system.cpu_cluster.cpus.mmu.dtb.accesses,78294968
system.cpu_cluster.cpus.mmu.itb.hits,85996428
system.cpu_cluster.cpus.mmu.itb.misses,286
system.cpu_cluster.cpus.mmu.itb.accesses,85996714
system.cpu_cluster.cpus.mmu.l2_shared.hits,64378
system.cpu_cluster.cpus.mmu.l2_shared.misses,1048
system.cpu_cluster.cpus.mmu.l2_shared.accesses,65426
