Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,85886583
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,103496
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,85886583
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,103496
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,85990079
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,85990079
system.cpu_cluster.cpus.icache.replacements,97909
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,36571245
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,41485504
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,36544717
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,41471165
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,78056749
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,78015882
system.cpu_cluster.cpus.dcache.replacements,40952445
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,12510
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,427
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,12510
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,427
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,12937
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,12937
system.cpu_cluster.l2.replacements,38089122
system.cpu_cluster.l2.tags.tagsInUse,15986.280906
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,54594857
