Statistic,Value
simSeconds,1.608334
simInsts,453351686
hostMemory,408000864
system.cpu_cluster.cpus.cpi,14.182991
system.cpu_cluster.cpus.ipc,0.070507
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,110690070
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,72339941
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1218462
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,394789
system.cpu_cluster.cpus.statFuBusy::MemRead,38141246
system.cpu_cluster.cpus.statFuBusy::MemWrite,24387208
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,137070817
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,74118878
system.cpu_cluster.cpus.fuBusy,107772393
system.cpu_cluster.cpus.fuBusyRate,0.194691
system.cpu_cluster.cpus.mmu.dtb.readHits,108105560
system.cpu_cluster.cpus.mmu.dtb.readMisses,15473472
system.cpu_cluster.cpus.mmu.dtb.writeHits,69029949
system.cpu_cluster.cpus.mmu.dtb.writeMisses,4898292
system.cpu_cluster.cpus.mmu.dtb.inserts,19958991
system.cpu_cluster.cpus.mmu.dtb.flushTlb,691
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,647
system.cpu_cluster.cpus.mmu.dtb.readAccesses,123579032
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,73928241
system.cpu_cluster.cpus.mmu.dtb.hits,177135509
system.cpu_cluster.cpus.mmu.dtb.misses,20371764
system.cpu_cluster.cpus.mmu.dtb.accesses,197507273
system.cpu_cluster.cpus.mmu.itb.hits,171177215
system.cpu_cluster.cpus.mmu.itb.misses,1802
system.cpu_cluster.cpus.mmu.itb.accesses,171179017
system.cpu_cluster.cpus.mmu.l2_shared.hits,20356444
system.cpu_cluster.cpus.mmu.l2_shared.misses,17122
system.cpu_cluster.cpus.mmu.l2_shared.accesses,20373566
