Statistic,Value
simSeconds,1.105043
simInsts,173892035
hostMemory,407477168
system.cpu_cluster.cpus.cpi,25.415066
system.cpu_cluster.cpus.ipc,0.039347
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,70593647
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,7801081
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,124606
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,73612
system.cpu_cluster.cpus.statFuBusy::MemRead,868370
system.cpu_cluster.cpus.statFuBusy::MemWrite,1156211
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,70688627
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,7772732
system.cpu_cluster.cpus.fuBusy,5286462
system.cpu_cluster.cpus.fuBusyRate,0.029755
system.cpu_cluster.cpus.mmu.dtb.readHits,70501928
system.cpu_cluster.cpus.mmu.dtb.readMisses,38766
system.cpu_cluster.cpus.mmu.dtb.writeHits,7719463
system.cpu_cluster.cpus.mmu.dtb.writeMisses,26353
system.cpu_cluster.cpus.mmu.dtb.inserts,40777
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2086
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,447
system.cpu_cluster.cpus.mmu.dtb.readAccesses,70540694
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,7745816
system.cpu_cluster.cpus.mmu.dtb.hits,78221391
system.cpu_cluster.cpus.mmu.dtb.misses,65119
system.cpu_cluster.cpus.mmu.dtb.accesses,78286510
system.cpu_cluster.cpus.mmu.itb.hits,85991405
system.cpu_cluster.cpus.mmu.itb.misses,231
system.cpu_cluster.cpus.mmu.itb.accesses,85991636
system.cpu_cluster.cpus.mmu.l2_shared.hits,64299
system.cpu_cluster.cpus.mmu.l2_shared.misses,1051
system.cpu_cluster.cpus.mmu.l2_shared.accesses,65350
