Statistic,Value
simSeconds,1.445949
simInsts,340406058
hostMemory,408000432
system.cpu_cluster.cpus.cpi,16.989475
system.cpu_cluster.cpus.ipc,0.058860
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,86577856
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,47786796
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,136364
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,79061
system.cpu_cluster.cpus.statFuBusy::MemRead,35628253
system.cpu_cluster.cpus.statFuBusy::MemWrite,11586613
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,105293000
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,47417751
system.cpu_cluster.cpus.fuBusy,73053702
system.cpu_cluster.cpus.fuBusyRate,0.184881
system.cpu_cluster.cpus.mmu.dtb.readHits,74741110
system.cpu_cluster.cpus.mmu.dtb.readMisses,11781072
system.cpu_cluster.cpus.mmu.dtb.writeHits,45396283
system.cpu_cluster.cpus.mmu.dtb.writeMisses,1991908
system.cpu_cluster.cpus.mmu.dtb.inserts,13747911
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2119
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,451
system.cpu_cluster.cpus.mmu.dtb.readAccesses,86522182
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,47388191
system.cpu_cluster.cpus.mmu.dtb.hits,120137393
system.cpu_cluster.cpus.mmu.dtb.misses,13772980
system.cpu_cluster.cpus.mmu.dtb.accesses,133910373
system.cpu_cluster.cpus.mmu.itb.hits,128207862
system.cpu_cluster.cpus.mmu.itb.misses,257
system.cpu_cluster.cpus.mmu.itb.accesses,128208119
system.cpu_cluster.cpus.mmu.l2_shared.hits,13772137
system.cpu_cluster.cpus.mmu.l2_shared.misses,1100
system.cpu_cluster.cpus.mmu.l2_shared.accesses,13773237
